,title,price,type,material,location,link
331,antique bronze double pedestal table lamp,175,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-antique-bronze-double/7812217981.html
332,solid oak media stand,150,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-oak-media-stand/7811970398.html
333,isfahan persian oriental rug,250,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-isfahan-persian-oriental-rug/7818939552.html
334,"expanding drop-leaf table and 4 chairs, with table pads",100,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-expanding-drop-leaf/7816032736.html
335,coffee and wine bar,600,,,Lyndhurst,https://charlottesville.craigslist.org/fuo/d/lyndhurst-coffee-and-wine-bar/7818875524.html
336,twin bed,150,bed,,Gordonsville,https://charlottesville.craigslist.org/fuo/d/montpelier-station-twin-bed/7818814829.html
337,large tuxedo sofa / couch 3 seater yellow velour feel with brown trim,200,sofa,,Orange,https://charlottesville.craigslist.org/fuo/d/woodberry-forest-large-tuxedo-sofa/7813899635.html
338,douglas furniture mid century octagon dining table & chairs cream iron,150,table,iron,Orange,https://charlottesville.craigslist.org/fuo/d/woodberry-forest-douglas-furniture-mid/7813898080.html
339,high table w/chairs ikea norraker,99,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-high-table-chairs-ikea/7818773796.html
340,table - night/side table and tower set,40,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-table-night-side-table/7818754838.html
341,lamps western style,20,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-lamps-western-style/7818745202.html
342,sectional sofa (large),750,sofa,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-sectional-sofa-large/7818669029.html
343,desk,35,desk,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-desk/7818430840.html
344,bronze torchiere floor lamp,45,,,unknown,https://charlottesville.craigslist.org/fuo/d/montpelier-station-bronze-torchiere/7818384620.html
345,old wooden desk,75,desk,,Gordonsville,https://charlottesville.craigslist.org/fuo/d/montpelier-station-old-wooden-desk/7811584064.html
346,sealy memory foam queen,850,,,Waynesboro,https://charlottesville.craigslist.org/fuo/d/waynesboro-sealy-memory-foam-queen/7818358006.html
347,"aisian bamboo style framed mirror 46"" wide by 33""",45,,bamboo,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-aisian-bamboo-style-framed/7818333129.html
348,solid oak wine rack,28,rack,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-solid-oak-wine-rack/7818331779.html
349,whiskey barrel base lamp,52,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-whiskey-barrel-base-lamp/7818330361.html
350,beautiful high back solid oak swivel bar stool 2 of 2,65,stool,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/palmyra-beautiful-high-back-solid-oak/7818327945.html
351,rare classic high back solid oak swivel bar stool 1 of 2,75,stool,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-rare-classic-high-back-solid/7818327539.html
352,one-of-a-kind metal ship,800,,,Pantops,https://charlottesville.craigslist.org/fuo/d/charlottesville-one-of-kind-metal-ship/7818242670.html
353,console table,200,table,,Pantops,https://charlottesville.craigslist.org/fuo/d/charlottesville-console-table/7818241727.html
354,display table,125,table,,Pantops,https://charlottesville.craigslist.org/fuo/d/charlottesville-display-table/7818240872.html
355,nesting side tables,100,,,Pantops,https://charlottesville.craigslist.org/fuo/d/charlottesville-nesting-side-tables/7818239421.html
