,title,price,type,material,location,link
131,qashqai persian oriental rug,150,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-qashqai-persian-oriental-rug/7823457952.html
132,hanging swing chair,30,chair,,Zion Crossroads,https://charlottesville.craigslist.org/fuo/d/troy-hanging-swing-chair/7823447079.html
133,solid oak vintage computer desk,250,desk,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-oak-vintage/7815420828.html
134,solid oak file cabinets/desk top grouping,350,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-solid-oak-file-cabinets/7815421867.html
135,wood chest of drawers,200,,wood,Earlysville,https://charlottesville.craigslist.org/fuo/d/earlysville-wood-chest-of-drawers/7823404652.html
136,oak bar stools ( 4 ) solid oak,200,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-oak-bar-stools-solid-oak/7819549051.html
137,stylish tufted green velvet sofa,750,sofa,velvet,Hydraulic Rd Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-stylish-tufted-green/7823400865.html
138,full size metal headboard,30,headboard,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-full-size-metal-headboard/7823374762.html
139,modern desk with utility topper,75,desk,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-modern-desk-with-utility-topper/7823372146.html
140,small wood table with 2 chairs,30,table,wood,"GORDONSVILLE, VA.",https://charlottesville.craigslist.org/fuo/d/montpelier-station-small-wood-table/7817424367.html
141,"29"" high / bar chairs for sale or both for",75,,,"GORDONSVILLE, VA.",https://charlottesville.craigslist.org/fuo/d/montpelier-station-29-high-bar-chairs/7817425208.html
142,vintage rare domore executive model 50/60’s office chair,350,chair,,Afton,https://charlottesville.craigslist.org/fuo/d/afton-vintage-rare-domore-executive/7823366479.html
143,glass curio cabinet,150,cabinet,glass,Zion Crossroads,https://charlottesville.craigslist.org/fuo/d/troy-glass-curio-cabinet/7815284855.html
144,pottery barn camp corner unit,100,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/white-hall-pottery-barn-camp-corner-unit/7823358988.html
145,tabriz persian oriental rug,150,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-tabriz-persian-oriental-rug/7823358260.html
146,green velvet furniture set,400,,velvet,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-green-velvet-furniture/7817850175.html
147,professional furniture reupholstering,1234,,,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-professional-furniture/7821966926.html
148,serta queen mattress,75,mattress,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-serta-queen-mattress/7823349481.html
149,queen mattress,75,mattress,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-mattress/7820109962.html
150,cocktail table & chairs,300,table,,Palmyra VA,https://charlottesville.craigslist.org/fuo/d/troy-cocktail-table-chairs/7815528450.html
151,tv stand/cabinet,75,,,Kents Store,https://charlottesville.craigslist.org/fuo/d/kents-store-tv-stand-cabinet/7823319011.html
152,mazleghan persian oriental rug,225,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-mazleghan-persian-oriental-rug/7823279429.html
153,kashan persian oriental rug,375,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-kashan-persian-oriental-rug/7823278428.html
154,sistan persian oriental rug,125,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-sistan-persian-oriental-rug/7823252548.html
155,large wood corner desk,60,desk,wood,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-large-wood-corner-desk/7823220163.html
156,kitchen barstools,40,,,Troy,https://charlottesville.craigslist.org/fuo/d/troy-kitchen-barstools/7823216575.html
157,herman miller caper mesh chair(s),150,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-herman-miller-caper/7823152690.html
158,patterned sofa and armchair set,250,sofa,,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-patterned-sofa-and/7823147797.html
159,wooden bed slat mounting kit,10,bed,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-wooden-bed-slat/7823143022.html
160,"turbolock smart digital door lock, polished brass",30,,brass,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-turbolock-smart-digital/7823138123.html
161,herman miller aeron mesh office chair,400,chair,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-herman-miller-aeron/7823136346.html
162,tempur-pedic proadapt mattress full size,2500,mattress,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-tempur-pedic-proadapt/7815375728.html
163,buffet cabinet server,290,cabinet,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/quinque-buffet-cabinet-server/7815603093.html
164,bedroom set,100,,,Barboursville,https://charlottesville.craigslist.org/fuo/d/barboursville-bedroom-set/7823123438.html
165,afghan wool oriental rug runner,150,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-afghan-wool-oriental-rug/7823115825.html
166,vanity and night stand,200,vanity,,"Gordonsville, Va.",https://charlottesville.craigslist.org/fuo/d/somerset-vanity-and-night-stand/7816287806.html
167,china cabinet,200,cabinet,,"Gordonsville, Va.",https://charlottesville.craigslist.org/fuo/d/somerset-china-cabinet/7818732148.html
168,hamadan persian oriental rug,275,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-hamadan-persian-oriental-rug/7823085275.html
169,jute rug 10x 14,200,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/white-hall-jute-rug-10x-14/7819317269.html
170,oak dresser with mirror,245,dresser,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-oak-dresser-with-mirror/7818883276.html
171,singer table,130,table,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-singer-table/7818881224.html
172,unique chairs,50,,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-unique-chairs/7818881580.html
173,beautiful piano stool,425,stool,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-beautiful-piano-stool/7820427822.html
174,small red storage container top,5,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-small-red-storage-container-top/7815688151.html
175,miele rotary iron b890,350,,iron,Earlysville,https://charlottesville.craigslist.org/fuo/d/earlysville-miele-rotary-iron-b890/7822897317.html
176,one of a kind mantle salvaged from old salem nc more than 50 years ago,395,,,Earlysville,https://charlottesville.craigslist.org/fuo/d/earlysville-one-of-kind-mantle-salvaged/7822896254.html
177,square solid wood dining table,295,table,wood,Earlysville,https://charlottesville.craigslist.org/fuo/d/earlysville-square-solid-wood-dining/7822894646.html
178,antique round farm table,295,table,,Earlysville,https://charlottesville.craigslist.org/fuo/d/earlysville-antique-round-farm-table/7822892477.html
179,mid century wire lantern table lamp,40,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-mid-century-wire/7815212783.html
180,marmont hill top quality giclee 24” x 24” framed print,100,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-marmont-hill-top/7815212664.html
181,lantern style accent lamp,30,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-lantern-style-accent/7814932464.html
182,global safari art prints signed by tina chaden,175,art,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-global-safari-art/7814927558.html
183,metal side table with glass top,60,table,glass,CROZET,https://charlottesville.craigslist.org/fuo/d/greenwood-metal-side-table-with-glass/7821353572.html
184,new mirrored wall art sound/lights package,75,art,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-new-mirrored-wall-art-sound-lights/7817135663.html
185,2 framed pictures,10,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-framed-pictures/7822844628.html
186,mirror oval new package wire back hanging,30,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-mirror-oval-new-package-wire-back/7821729125.html
187,wide diamond 3 drawer white storage cart,10,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-wide-diamond-drawer-white-storage/7815568424.html
188,small black office chair rollers,10,chair,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-small-black-office-chair-rollers/7819804173.html
189,wood frame train station picture,10,,wood,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-wood-frame-train-station-picture/7819805913.html
190,"""samsung"" refrigerator, freezer",400,,,"Gordonsville, Va.",https://charlottesville.craigslist.org/fuo/d/somerset-samsung-refrigerator-freezer/7818451703.html
191,large mirror,100,,,unknown,https://charlottesville.craigslist.org/fuo/d/scottsville-large-mirror/7822740216.html
192,wicker and wire 24 bottle wine rack,29,rack,wicker,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-wicker-and-wire-24-bottle-wine/7822689949.html
193,open solid wood book case,65,,wood,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-open-solid-wood-book-case/7822689775.html
194,"42"" round modern table w/4 newly upholstered chairs",139,table,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-42-round-modern-table-4-newly/7822689519.html
195,thomasville mahagony end table,45,table,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-thomasville-mahagony-end-table/7822687096.html
196,gone with the wind style lamp,59,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-gone-with-the-wind-style-lamp/7822686375.html
197,outdoor glass top patio table,50,table,glass,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-outdoor-glass-top-patio-table/7822686198.html
198,2 matching dark mahagony cocktail tables each,25,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-matching-dark-mahagony-cocktail/7822685194.html
199,"chairs,  chairs and more chairs and up",25,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-chairs-chairs-and-more-chairs/7822684952.html
200,2 black wrought iron bar stools each,30,,iron,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-black-wrought-iron-bar-stools/7822684522.html
201,lamp table,28,table,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-lamp-table/7822684293.html
202,two metal stools,100,,,unknown,https://charlottesville.craigslist.org/fuo/d/earlysville-two-metal-stools/7822568089.html
203,maple sofa or entryway table $40,40,sofa,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-maple-sofa-or-entryway-table-40/7820816139.html
204,plush hickory wingback chair,150,chair,,unknown,https://charlottesville.craigslist.org/fuo/d/north-garden-plush-hickory-wingback/7819721435.html
205,glass top coffee table,30,table,glass,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-glass-top-coffee-table/7814707863.html
206,floral pattern runner rug 30” x 12 ft,75,,,Woodbrook dr,https://charlottesville.craigslist.org/fuo/d/charlottesville-floral-pattern-runner/7814679779.html
207,persian area rug 55” x 90”,100,,,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-persian-area-rug-55-90/7814682890.html
208,persian style area rug 21” x 31”,60,,,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-persian-style-area-rug/7814680613.html
209,specialized speedster road bike,100,,,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-specialized-speedster/7814708459.html
210,adjustable-height rolling stool,75,stool,,Locust Grove,https://charlottesville.craigslist.org/fuo/d/charlottesville-adjustable-height/7822460646.html
211,ikea norden gateleg table in birch,350,table,,Locust Grove,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-norden-gateleg/7822460210.html
212,doritza turquoise faux leather loveseat,250,,leather,Locust Grove,https://charlottesville.craigslist.org/fuo/d/charlottesville-doritza-turquoise-faux/7822458930.html
213,free furniture,0,,,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-free-furniture/7822452049.html
214,schwinn adult voyager bike,75,,,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-schwinn-adult-voyager/7814708724.html
215,mountain bike with accessory bag,100,,,Woodbrook neighborhood,https://charlottesville.craigslist.org/fuo/d/charlottesville-mountain-bike-with/7814708562.html
216,concrete and stainless steel table,50,table,concrete,Crozet,https://charlottesville.craigslist.org/fuo/d/white-hall-concrete-and-stainless-steel/7822422532.html
217,grapevine table,2800,table,,"Gordonsville, Va.",https://charlottesville.craigslist.org/fuo/d/somerset-grapevine-table/7818170179.html
218,pro-form treadmill,250,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-pro-form-treadmill/7818435968.html
219,yosuda excersie bike,140,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-yosuda-excersie-bike/7818436087.html
220,barstool set,100,,,Barboursville,https://charlottesville.craigslist.org/fuo/d/barboursville-barstool-set/7818436243.html
221,sofa couch with storage,350,sofa,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-sofa-couch-with-storage/7822156383.html
222,wrought iron table,50,table,iron,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-wrought-iron-table/7817876333.html
223,rollaway beds w/ mattresses,50,,,Western Albemarle,https://charlottesville.craigslist.org/fuo/d/batesville-rollaway-beds-mattresses/7818466886.html
224,6 kwikset closet / hall door knobs,25,closet,,MADISON VA,https://charlottesville.craigslist.org/fuo/d/pratts-kwikset-closet-hall-door-knobs/7814027396.html
225,world market nib bamboo round mirror,55,,bamboo,Orange,https://charlottesville.craigslist.org/fuo/d/woodberry-forest-world-market-nib/7821801204.html
226,"couch, loveseat, chair set with pillows",250,chair,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-couch-loveseat-chair-set-with/7821770088.html
227,console table solid wood,375,table,wood,Hollymead,https://charlottesville.craigslist.org/fuo/d/charlottesville-console-table-solid-wood/7813819384.html
228,kitchen table and chairs,350,table,,Hollymead,https://charlottesville.craigslist.org/fuo/d/charlottesville-kitchen-table-and-chairs/7821696354.html
229,wide seat bar chair,10,chair,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-wide-seat-bar-chair/7814278507.html
230,queen bed frames,20,bed,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-bed-frames/7821623914.html
231,stylish sofa,170,sofa,,Charlotesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-stylish-sofa/7821584300.html
232,like new ashley porter 5 drawer chest of drawers,300,,,Crozet,https://charlottesville.craigslist.org/fuo/d/crozet-like-new-ashley-porter-drawer/7821556860.html
233,wingback armchair and ottoman,100,armchair,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-wingback-armchair-and-ottoman/7813700155.html
234,sectional sofa set,150,sofa,,Reva,https://charlottesville.craigslist.org/fuo/d/reva-sectional-sofa-set/7821521546.html
235,vintage handmade solid wooden storage chest,200,,,CROZET (Across from Western Albemarle High School),https://charlottesville.craigslist.org/fuo/d/greenwood-vintage-handmade-solid-wooden/7821481846.html
236,queen box spring,0,,,Madison,https://charlottesville.craigslist.org/fuo/d/pratts-queen-box-spring/7821475714.html
237,oak finish desk with hutch,99,desk,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-oak-finish-desk-with/7821456063.html
238,ikea poang chair and ottoman,200,chair,,Crozet,https://charlottesville.craigslist.org/fuo/d/white-hall-ikea-poang-chair-and-ottoman/7821449952.html
239,wooden 4 snack tray tables with storage stand,60,,,CROZET,https://charlottesville.craigslist.org/fuo/d/greenwood-wooden-snack-tray-tables-with/7821357542.html
240,pair of hitchcock chairs,20,,,Lake Monticello,https://charlottesville.craigslist.org/fuo/d/palmyra-pair-of-hitchcock-chairs/7821291886.html
241,5 shelf well built bookcase,79,shelf,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-shelf-well-built-bookcase/7821278408.html
242,cabinet & dining chairs,1,cabinet,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-cabinet-dining-chairs/7821217009.html
243,3 ikea vittsjo glass shelves,75,,glass,"C-ville, bear Buford Middle",https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-vittsjo-glass/7821206431.html
244,bakhtiari persian oriental rug,350,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-bakhtiari-persian-oriental-rug/7821183745.html
245,qashqai persian oriental rug runner,250,,,Lexington,https://charlottesville.craigslist.org/fuo/d/lexington-qashqai-persian-oriental-rug/7821039165.html
246,reclining queen anne chair,50,chair,,unknown,https://charlottesville.craigslist.org/fuo/d/charlottesville-reclining-queen-anne/7821038846.html
247,twin sleep number bed,350,bed,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-twin-sleep-number-bed/7821030755.html
248,oak kitchen table and 4 chairs,149,table,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-oak-kitchen-table-and-chairs/7821017839.html
249,vintage arm chair,20,chair,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-vintage-arm-chair/7813599039.html
250,dining room set,700,,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-dining-room-set/7813598810.html
251,love seat sofa,100,sofa,,Palmyra,https://charlottesville.craigslist.org/fuo/d/palmyra-love-seat-sofa/7813597719.html
252,outdoor wicker furniture,100,,wicker,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-outdoor-wicker-furniture/7821004838.html
253,four hands matthes console table,300,table,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-four-hands-matthes/7820931910.html
254,bamboo bar stool,15,stool,bamboo,charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-bamboo-bar-stool/7813187385.html
255,beautiful china hutch,169,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-beautiful-china-hutch/7820810030.html
256,side board server,109,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-side-board-server/7820807039.html
257,beautiful formal dining room set,299,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-beautiful-formal-dining-room-set/7820803041.html
258,matching dual drop leaf end tables each,50,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-matching-dual-drop-leaf-end/7820797059.html
259,solid wooden bar stools (2),100,,,CROZET,https://charlottesville.craigslist.org/fuo/d/greenwood-solid-wooden-bar-stools/7813327335.html
260,green marble top hall table,52,table,marble,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-green-marble-top-hall-table/7820649457.html
261,unique tempered glass patio side table,70,table,glass,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-unique-tempered-glass-patio/7820648783.html
262,barbara mock framed print,25,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-barbara-mock-framed-print/7820648587.html
263,solid pine quilt rack,30,rack,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-solid-pine-quilt-rack/7820644977.html
264,mirrors mirrors mirrors from,10,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-mirrors-mirrors-mirrors-from/7820644690.html
265,lamps lamps lamps and shades from,8,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-lamps-lamps-lamps-and-shades/7820644392.html
266,dark solid oak fiddleback chair,25,chair,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-dark-solid-oak-fiddleback-chair/7820643133.html
267,round decorative 3 level coffee table,42,table,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/palmyra-round-decorative-level-coffee/7820642045.html
268,dvd caddy's   each,10,,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-dvd-caddys-each/7820641782.html
269,white lamp table,38,table,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/scottsville-white-lamp-table/7820641391.html
270,2 pub table height solid wood chairs each,35,table,wood,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-pub-table-height-solid-wood/7820640976.html
271,virginia house-china hutch and buffet,139,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-virginia-house-china-hutch-and/7820640606.html
272,classic 8 bulb chandelier,79,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-classic-bulb-chandelier/7820639380.html
273,antique farm style wicker rocking chair,75,chair,wicker,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-antique-farm-style-wicker/7813117745.html
274,beautiful hand painted table,48,table,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-beautiful-hand-painted-table/7816037908.html
275,tv stand,60,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-tv-stand/7820624228.html
276,bedroom set,250,,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-bedroom-set/7820624069.html
277,small blanket rack,15,rack,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-small-blanket-rack/7816034939.html
278,elegant formal dining room set,349,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-elegant-formal-dining-room-set/7816034586.html
279,small persons bar height stool,15,stool,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-small-persons-bar-height-stool/7816032888.html
280,2 antique singer sewing machine bases with table tops and up,85,table,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-antique-singer-sewing-machine/7814149697.html
281,cherry end table,39,table,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/keene-cherry-end-table/7814145473.html
282,modern black laquered table base with rectangular tempered glass top,125,table,glass,PALMYRA,https://charlottesville.craigslist.org/fuo/d/fork-union-modern-black-laquered-table/7814090077.html
283,unusual and rare copper leaf adornment,78,,copper,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-unusual-and-rare-copper-leaf/7813118368.html
284,indoor/outdoor metal end tables each,38,,,SCOTTSVILLE,https://charlottesville.craigslist.org/fuo/d/palmyra-indoor-outdoor-metal-end-tables/7813117951.html
285,swivel oak bar stool,30,stool,,PALMYRA,https://charlottesville.craigslist.org/fuo/d/palmyra-swivel-oak-bar-stool/7813117865.html
